,Unnamed: 0,Company name,Angel link,Location,Website,Number of employees
257,257,Omdena,https://angel.co/company/omdena,Palo Alto,omdena.com,51-200
258,258,Olimpo Labs,https://angel.co/company/olimpo-labs,Atlanta,olimpolabs.com,1-10
259,259,Mazaotech,https://angel.co/company/mazaotech1,Nairobi County,hayvest.com,1-10
260,260,Endlist,https://angel.co/company/endlist,Philippines,theendlist.com,1-10
261,261,BE LUX,https://angel.co/company/be-lux-1,Atlanta,belux.life,1-10
262,262,Tango Vision,https://angel.co/company/tangovision,Moscow,tango.vision,1-10
263,263,Triangle UAS,https://angel.co/company/triangle-uas-1,Raleigh,triangleuas.com,1-10
264,264,Artifred,https://angel.co/company/alfred-a-i,Passaic,artifred.com,1-10
265,265,Flote App,https://angel.co/company/flote-app,San Francisco,Website,1-10
266,266,Versattire,https://angel.co/company/versattire,Wellington,myversattire.com,1-10
267,267,Megahash,https://angel.co/company/megahash-2,Hartford,megahash.us,1-10
268,268,Vrbff.com,https://angel.co/company/vrbff-com,Portland,vrbff.com,1-10
269,269,Joyn Social Media,https://angel.co/company/joyn-social-media,San Francisco,joynsocialmedia.com,1-10
270,270,HundredGraphs,https://angel.co/company/hundredgraphs,King of Prussia,hundredgraphs.com,1-10
271,271,Metvy,https://angel.co/company/metvy-1,Gurgaon,metvy.com,1-10
272,272,Trium Designs,https://angel.co/company/trium-designs-1,Vadodara,triumdesigns.com,1-10
273,273,RouteRavel,https://angel.co/company/routeravel,Saint Petersburg,routeravel.com,1-10
274,274,Hitekki,https://angel.co/company/hitekki-1,Kiev,hitekki.com,1-10
275,275,Shubh Mani Solutions,https://angel.co/company/shubh-mani-solutions,Bengaluru,ftd.travel,1-10
276,276,AGRIGATOR,https://angel.co/company/agrigator,Bhopal,agrigator.co,1-10
277,277,HotelCiti,https://angel.co/company/hotelciti,Nigeria,hotelciti.com,1-10
278,278,Idiosnow,https://angel.co/company/idiosnow,Noida,idiosnow.com,1-10
279,279,spares.io,https://angel.co/company/spares-io,San Francisco,spares.io,1-10
280,280,Visdraw,https://angel.co/company/visdraw,Delhi,visdraw.com,1-10
281,281,KiraCore,https://angel.co/company/kiracore,Malta,kiracore.com,1-10
282,282,PushStash,https://angel.co/company/push-stash,Dallas,pushstash.com,1-10
283,283,Bainom,https://angel.co/company/bainom-1,San Francisco,bainom.com,1-10
284,284,NIA Technologies,https://angel.co/company/nia-tech-1,London,nia-technologies.com,1-10
285,285,Fotisto,https://angel.co/company/fotisto,Pakistan,fotisto.pk,1-10
286,286,NOCO,https://angel.co/company/noco-energy-1,London,nocoenergy.co.uk,1-10
287,287,Twillo,https://angel.co/company/twillo-3,Los Angeles,twillo.tech,1-10
